Time,CO,C6H6,T,RH,NOx
10,-200,2.9,13.8,54.6,44
11,0.8,3.1,13.6,55.1,42
12,0.8,2.5,13.6,59,63
13,1.1,4.3,13.5,58.4,115
14,2.1,8.9,13.8,58,170
15,2.4,10.5,14.6,53.1,147
16,2.6,12.5,15,52.3,166
17,2.8,12.3,15.4,52.1,195
18,2.6,11.7,16.3,50,182
19,2.6,11.7,17.1,47.9,168
20,2.1,9.3,19,42.9,125
21,1.7,7.6,19.5,42.3,95
22,1.6,6.7,19.5,42.3,79
23,2.1,9.7,19.1,43.8,119
0,2.3,12.4,18.5,46.3,142
1,3.5,16.6,17.4,51.6,215
2,3.9,16.4,17.1,51.3,229
3,3.3,13.7,16.4,53.8,206
4,2.3,9.9,16.2,55.4,147
5,2.1,8.9,15.9,57.7,122
6,2.8,10.6,15.7,58.6,175
7,2.1,7.4,15.1,60.9,133
8,1.6,6.2,15.6,56.6,89
9,1.6,6.5,15.2,57.9,-200
10,-200,5.8,15.4,57.8,85
11,1.1,4,14.9,60.6,55
12,0.7,2.1,14.5,63,24
13,0.8,3.6,14.2,66.2,72
14,1.2,4.4,14.5,65.3,122
15,1.4,5.4,15.3,62.1,111
16,1.7,7.1,16.3,59,123
17,1.8,7.3,18.9,49.6,106
18,1.8,7.6,19.4,46.1,103
19,1.9,6.8,20.8,41.6,102
20,1.3,4.6,21.4,40.3,48
21,1.6,8.4,21.2,39.3,63
22,1.9,6.9,20.3,38,98
23,2.3,9,19.4,41.3,132
0,3.8,15.1,18.5,43.8,173
1,3.5,12.6,17.8,48.1,185
2,4.3,15.1,17.9,46.9,266
3,2.8,9.9,17.4,49.1,188
4,1.9,8,17,51.7,122
5,1.9,7.9,16.4,55.1,112
6,1.7,6.1,16.1,60,93
7,1.5,5.1,15.8,60.5,74
8,0.6,1.7,16.3,57,23
9,0.4,0.7,16.9,53.9,-200
10,-200,0.8,16.1,55.9,17
11,0.3,0.7,16.5,53.9,15
12,0.6,2,16.4,54,41
13,1.2,5.1,15.7,57.6,86
14,3.6,17.7,15.8,53.7,226
15,3.7,18.4,17.4,42.1,214
16,1.8,6.9,17.9,38.4,115
17,1.6,7.3,18.5,36.7,124
18,1.9,9.6,21,29.6,122
19,2,10.4,21.3,28.1,107
20,2.2,11.2,21.3,26.1,133
21,2.1,10.7,21.3,26.8,130
22,2.3,11.6,21.3,24.2,150
23,2.6,12.4,20.2,28.5,138
0,3.8,18.3,17,43.1,213
1,4.4,21,15.6,47.4,232
2,4.5,21,15.3,47.4,238
3,3.3,14.5,14.5,49.7,180
4,2,8.4,13.9,52,128
5,1.1,4.3,14.5,49.4,65
6,0.9,3.8,13.8,51.4,53
7,0.8,2.7,14,51.3,47
8,0.7,2.5,13,56.8,51
9,0.5,1.2,11,70,-200
10,-200,0.8,10.1,76.8,20
11,0.3,0.6,8.8,80.5,13
12,0.5,1.8,9.6,75.4,33
13,1.1,4.6,9.8,75,103
14,3,14.2,10,74.2,224
15,3.8,21,11.2,69.7,244
16,3.4,16.2,12,62.9,237
17,3,15.5,12.8,55.8,220
18,2.7,13.4,13.1,54.8,207
19,3.5,16.9,13.8,53.4,208
20,2.8,12.4,16,42.4,160
21,1.9,10.1,14.1,49.8,131
22,2,8.7,12,61.1,128
23,3,13.8,13.6,54.6,176
0,1.9,9.3,13.7,49.5,107
1,2.7,13,11.7,57.1,131
2,3.3,14.3,11.5,58.2,166
3,1.7,7.6,12.6,54.2,89
4,1.3,5.3,12,54.9,81
5,1.3,5.4,11,61.4,78
6,1.2,4.9,11.1,62.2,70
7,1.1,4.6,10.8,62.5,76
8,0.9,2.7,11.3,60,43
9,0.6,1.6,10.6,61.6,-200
10,-200,1.7,10.2,62.7,44
11,0.6,1.2,10.9,58.6,34
12,0.8,1.7,10.8,57.2,43
13,1.2,4.8,10.4,59.2,79
14,3.1,13.8,11,57.3,174
15,4.4,23.7,11.2,56.9,235
16,3.4,14.2,12.1,54.9,218
17,1.7,8,15.1,44.3,136
18,1.5,6.7,15.6,40.6,117
19,1.7,8.7,16.9,34.6,119
20,2.2,10.8,16.6,35.6,126
21,-200,6.7,11.3,63.9,100
22,2.7,11.4,9.6,81.1,197
23,2.8,13.4,11.7,69.1,195
0,2.7,12,10.7,68.5,156
1,4.5,20.2,10.7,67.3,247
2,3.5,14.4,10.8,65.7,190
3,2.6,9.4,10.3,66.3,169
4,1.7,5.9,10.1,66.9,118
5,1.3,4.5,10.4,61.1,81
6,1.3,4.5,10.3,59.9,80
7,1,2.5,11,58.4,42
8,0.7,1.8,9.1,68.1,38
9,0.7,1.4,9.5,68.2,-200
10,0.5,0.9,9.3,72.3,18
11,0.5,0.6,9.9,66.8,12
12,0.6,1.4,7.6,83.2,43
13,1.1,3.8,8.1,79,84
14,2.7,11.6,8.7,74.6,184
15,3.5,17.8,8.6,75.1,202
16,2.3,8.8,9.7,69.7,133
17,1.6,6.8,11,64.4,130
18,1.3,5.9,13.6,53,106
19,2,8.9,14.2,48.4,132
20,1.9,8.2,14.2,46.3,106
21,1.9,8.6,16,41.3,125
22,2.2,10.1,17.7,35.4,138
23,2,9.4,17.1,37.4,120
0,2.9,14.6,14.9,40.5,158
1,5.2,24.6,13.4,47.8,253
2,4.6,21.6,12.6,52.5,231
3,2.5,10.3,12.2,53.2,150
4,1.5,5.7,10.6,56.1,99
5,1.2,4.5,9.9,59.5,75
6,1.7,5.5,9.6,61.1,93
7,1.4,4.8,9.7,61.6,79
8,1.2,3.6,9.4,62.6,67
9,0.6,1.7,8.2,68.5,-200
10,0.7,2.2,8,69.4,45
11,0.8,3,7.7,72.4,72
12,0.9,4,8,71.8,103
13,1.6,6.7,8.5,66.3,132
14,3.4,16.7,9.8,59.6,239
15,3.8,19.3,11.2,57,275
16,3.1,14.8,14.8,44.1,232
17,2.7,13.4,16.8,35.3,180
18,2,11,19.2,27.1,112
19,2.3,12.5,19.1,26.2,116
20,1.9,8.4,16.3,30.8,103
21,1.3,5.3,14.2,36.8,89
22,1.9,8.8,13.4,41,112
23,2.3,11.2,14.2,43.3,127
0,2.4,11.6,12.1,45.6,125
1,2.7,12.4,10.4,48,120
2,2.6,10.6,10,51.1,120
3,1.5,6,9.8,50.8,99
4,1.2,4.6,9.7,50.4,79
5,1.1,4.1,9.9,50.2,66
6,1.5,5.2,9.4,53.4,94
7,1,3.2,8.6,57.8,70
8,1.2,4.5,8.1,62.1,75
9,1.1,3.8,7.9,63.5,-200
10,-200,3.8,7.4,64.8,57
11,0.8,1.9,8.2,58.9,32
12,0.9,2.4,6.3,66.6,54
13,1.1,3.3,7.2,62.9,68
14,1.5,6.7,7.2,63.9,98
15,1.8,8.5,11.1,50.5,128
16,2.1,9.7,15.5,36.1,129
17,2.1,9.4,17.8,29.2,130
18,1.9,9,17.6,30.1,111
19,2.1,10,19.1,26.8,106
20,2.5,12.6,17.7,28.6,137
21,1.9,7.6,17.8,28.4,113
22,2.2,11.8,18.7,26,122
23,2.3,11.2,17.1,31.3,137
0,2.7,12.4,15.8,36.1,165
1,3,12.9,14.7,40.1,196
2,2.8,12.2,13.6,44.9,174
3,2.2,8.8,12.5,48.1,140
4,1.6,6.8,11.8,50.8,102
5,2.1,8.6,10.9,56.1,130
6,2.3,8.9,10.9,55.9,121
7,2.3,8.3,10.3,58.1,111
8,1.7,6.3,9.3,62.2,87
9,2.2,8.3,8.2,66.7,-200
10,1.3,5.1,8.3,64.9,77
11,0.8,2.6,9.6,58.5,39
12,1.1,3.6,7.7,66.4,77
13,1.4,3.6,7.4,68,91
14,1.3,4.7,9.7,58.6,105
15,1.9,7.5,12.5,50.1,133
16,2.3,9,16.8,36.9,128
17,2.3,9.5,19.2,31.3,126
18,1.8,7.7,21.3,26.4,92
19,1.4,5.7,21.2,23.1,66
20,1,3.8,18.6,25,50
21,1.4,4.8,18,27.3,70
22,1.3,4.3,18.2,28.3,73
23,1.3,4.1,17,31.4,77
0,1.4,4.7,15.6,35,86
1,1.9,6.2,14.1,40.2,93
2,1.8,5.5,13.4,43.2,105
3,1.1,3.3,12.3,46.8,67
4,1.1,3.2,11.9,46.5,63
5,1.1,2.9,11.5,46.6,63
6,0.9,2.2,10.6,48,46
7,0.6,1.3,10.7,45.8,21
8,0.5,1.1,10.4,46.6,22
9,0.7,1.3,10.1,47.8,-200
10,0.6,1.2,11.3,46.9,39
11,0.7,1.7,10.1,51.2,55
12,0.9,2.9,9.9,50.7,76
13,2.9,14.3,8.1,56.8,181
14,4.1,19.7,10.9,44.1,259
15,1.5,5.5,11.8,37.6,118
16,1.5,5.6,13.9,33.2,119
17,1.5,5.8,15.6,30.1,123
18,1.4,5.5,16.5,29,92
19,1.6,6.5,17.5,27.9,91
20,1.5,5.5,17.9,26.8,103
21,1.4,5.2,18.2,26.1,102
22,1.5,5.8,18,27.1,94
23,1.9,7.9,17,28.9,98
0,2.5,10.2,16.1,31.3,126
1,2.1,8.2,14.5,35.4,108
2,1.6,5.7,13.2,37.9,95
3,1.2,3.8,13.1,34.4,78
4,1.1,4,13.5,28.5,61
5,1,2.8,12.4,31.9,55
6,1,2.6,13.1,26.8,57
7,0.7,1.8,11.6,33.6,41
8,0.7,1.7,10.5,42.9,46
9,0.8,1.4,11.7,38.7,-200
10,-200,1.3,12.2,37.2,41
11,0.7,2.3,12.9,33.9,52
12,1.1,5.3,11.3,40.3,111
13,2.6,13.4,11.9,38.4,191
14,4,23.8,13.3,35.6,244
15,4.2,21.5,16.3,28.8,283
16,4.7,21,17.9,28.2,320
17,3.9,18.4,18.3,26.6,249
18,3.7,18.9,20.8,22.5,219
19,3.4,17.1,22.4,20,200
20,2.2,10.4,20.9,21.7,138
21,1.9,8,19.1,26.5,118
22,1.6,6.2,18.1,30.6,99
23,2.1,9.7,17.3,34.7,112
0,2.2,9.6,15.8,40.4,117
1,2.7,11.9,15.9,42,129
2,2.4,8.7,15.9,43.5,132
3,1.3,4.7,15,46.1,73
4,1.2,3.8,15.1,44.6,68
5,1.5,4.7,14.9,43.5,80
6,1.3,3.8,14.8,41,68
7,1,2.7,14.8,40.8,44
8,0.9,2.8,14.8,40.8,47
9,0.5,1,14.2,36.1,-200
10,0.5,0.8,14.5,36.1,15
11,0.6,1.5,14.6,36,44
12,1,3.5,14.4,38.5,85
13,3.1,15.6,13.8,58.2,207
14,4.1,19.9,13.2,61.1,230
15,2.2,8.6,10.4,74.4,181
16,1.7,6.5,11.5,71,144
17,1.9,7.7,12.2,70,140
18,2.9,11.3,12.3,73.3,204
19,2.2,9.1,11.3,78.1,149
20,2.6,11.2,13.6,69.2,171
21,3.1,13.5,14.9,59.3,195
22,2.3,10.1,15.7,50.9,152
23,2.4,11.3,15.2,52.9,128
0,2.8,11.8,15.5,50.8,121
1,2.7,11.5,14.3,52.9,142
2,2.3,9.3,13.2,56,131
3,1.5,5.5,12.6,57,81
4,1.4,5.1,12.3,57.8,60
5,1.2,4.8,12,58.4,57
6,1.6,6.3,12,61.6,96
7,1.2,5.1,11.5,63.9,85
8,1.1,4.1,10.7,67.2,50
9,0.9,4,9,73.1,-200
10,0.7,2.4,10.2,66.6,57
11,0.9,2.9,11,63.7,64
12,1.7,7.4,9.6,68.8,153
13,4.2,19.8,9.5,69.6,342
14,6.2,31.9,11.9,60.9,378
15,4.6,21,16.2,48.6,304
16,2.8,11.7,19.2,39.6,192
17,1.6,6.8,19.7,38.4,130
18,1.7,7.4,20.6,36.7,106
19,1.7,8.6,21.8,33.9,102
20,1.7,-200,-200,-200,99
21,1.9,-200,-200,-200,108
22,2.3,-200,-200,-200,131
23,3.3,16.4,23.6,27.5,163
0,4.2,21.2,22.8,32.1,211
1,5.5,25,20.8,36.7,267
2,4.9,20.2,18.3,40.9,269
3,2.5,10.8,16.8,44,154
4,2,9.9,15.8,48,127
5,2,8.5,14.9,52,122
6,2,8,14.1,54.4,126
7,1.3,5.6,13.3,58.8,84
8,1,3.2,13.3,60.9,58
9,0.9,3.3,11.8,64.3,-200
10,-200,2.8,11.2,65.9,37
11,0.7,2.6,11.3,72.9,56
12,1.1,4.3,11.4,71.8,91
13,2.6,13,11.9,73.7,159
14,3.9,20.3,12.6,70.2,190
15,5,20.7,13.6,65.3,249
16,3.3,15.9,16.9,52.3,196
17,2.9,14.2,19.4,44.1,180
18,3.1,15.9,22.9,33.8,167
19,3,16.1,23.6,31.3,159
20,2.7,14.7,24.7,30.5,152
21,2.7,14,26.1,27.3,149
22,2.6,13.6,27.6,22.8,143
23,3.7,19.7,26.9,22.3,185
0,4.5,23.3,24.3,30.1,223
1,4.7,24.1,21.2,40.1,215
2,5.5,25.4,19.4,42.5,271
3,3,14.1,18.5,43,180
4,1.9,10.1,17.8,47,115
5,2.3,12.1,16.8,53.2,149
6,1.6,9,17.1,51.8,98
7,1.3,6.3,16.2,54.2,73
8,1.2,5.3,15.1,58.2,69
9,0.9,3.8,15.1,57.6,-200
10,0.8,3,14.5,58,60
11,0.8,3.3,13.7,61.6,56
12,0.9,3.5,13.9,59.6,73
13,2,9.5,13.3,61.7,159
14,3,15.2,15.1,55.8,203
15,3.1,14.3,17,50.5,211
16,-200,11.2,19.7,43.3,-200
17,-200,11.4,20.7,41.7,-200
18,-200,13.4,23.3,35.8,-200
19,-200,10.6,23.8,30.5,-200
20,-200,10.8,24.8,27,-200
21,-200,11.9,25,27.5,-200
22,-200,13.5,25.8,26.5,-200
23,-200,15.2,25.1,27.1,-200
0,-200,17.1,23.7,28.6,-200
1,-200,26.7,22.1,36.8,-200
2,-200,14.2,19.9,47.5,-200
3,-200,8.5,18.7,50.4,-200
4,-200,14.3,18.1,51.3,-200
5,-200,9.3,17.5,53.8,-200
6,-200,7.8,16.7,56.5,-200
7,-200,6.7,15.9,59.2,-200
8,-200,5.4,15.2,62.4,-200
9,-200,5.6,14.7,65,-200
10,-200,3.5,14.3,65.3,-200
11,-200,3,13.7,66.5,-200
12,-200,4.4,12.9,69.1,-200
13,-200,3.5,13.7,64.8,-200
14,-200,4.2,15.3,59,-200
15,-200,8,18.1,49.8,-200
16,-200,9,21.5,40.7,-200
17,-200,8.1,23.3,37.1,-200
18,-200,8.6,25.1,33.8,-200
19,-200,7.1,25.6,32.1,-200
20,-200,5.6,25.8,31.1,-200
21,-200,10,26.1,30.8,-200
22,-200,10.5,24.4,36,-200
23,-200,10.1,23,36.2,-200
0,-200,10,22.1,39.3,-200
1,-200,13,19.8,44.6,-200
2,-200,10.5,18.5,48.9,-200
3,-200,5.2,16.6,56.1,-200
4,-200,6.9,15.8,58.8,-200
5,-200,6.4,15.3,60.8,-200
6,-200,4.7,14.7,64.4,-200
7,-200,2.4,14.8,63.3,-200
8,-200,2.2,15,61.5,-200
9,-200,1.1,15.5,56.9,-200
10,-200,0.9,16,54,-200
11,-200,3.1,13.5,63.9,-200
12,-200,6.2,12.9,65.3,-200
13,-200,13.2,13.4,62.5,-200
14,-200,25.8,14.5,58.8,-200
15,-200,18.2,15.3,56.7,-200
16,3.1,14.3,15.6,57.4,236
17,3,13.7,16.6,55.2,228
18,3.2,15.7,17,54.3,206
19,3.1,15.4,18,51.5,188
20,2.5,12.6,19.5,47.5,158
21,2.1,9.8,21.6,41.7,124
22,2,9.6,22.2,38.3,98
23,3.2,16.3,20.3,42.8,160
0,4.1,19.8,19.7,45.4,194
1,3.9,18,18.8,47.5,174
2,3.1,13.6,17.9,49.4,157
3,2,8.7,17.5,50.9,109
4,1.7,7.7,17.4,51.8,85
5,1.6,7.3,17,53.9,90
6,1,4.1,16.6,55.4,61
7,0.8,2.7,15.9,57,36
8,0.5,1.5,15,59.2,25
9,0.5,1.9,14.5,61.4,-200
10,0.5,1.8,14.1,61.6,24
11,0.8,3.4,14.6,58.8,73
12,1.7,8.5,14.4,58.9,164
13,4.5,24.1,15.3,55.2,329
14,6.2,33.7,16.2,52.5,302
15,4.4,22,18.4,46.3,256
16,2.9,14.1,19.6,41.8,182
17,1.6,7.6,20.2,40.1,105
18,2.6,14.5,20.9,36.6,136
19,2.9,13.6,20.4,34.7,167
20,2.5,11.5,19.3,35.4,166
21,1.9,9.2,18.6,36.9,115
22,1.9,10.3,18.8,36.8,109
23,2.7,14,17.5,40.6,143
0,3,15,16.8,44.3,159
1,3.3,15.1,16.3,47.7,181
2,3.2,14.8,15.6,50.7,178
3,1.8,8.5,15.7,49.4,91
4,1.3,5.9,15.8,48.6,76
5,1.1,4.8,15.7,47,66
6,0.9,4,15.7,45.9,56
7,0.7,2.3,15.6,44.9,35
8,0.4,1.4,15.6,44.4,21
9,0.3,0.7,16.1,42.4,-200
10,0.3,0.7,15.7,45.4,12
11,0.3,0.8,15.3,50.1,22
12,0.8,3.6,14.2,58.6,55
13,2.8,12.9,14.3,58.2,152
14,3.1,15.7,15,52,153
15,2.3,8.6,13.6,61.4,152
16,1.6,7.4,16.1,53.1,112
17,1.5,6.6,16.6,44.3,119
18,1.6,7.8,17.4,40.3,122
19,1.8,9.1,18.1,42.2,115
20,1.4,6.1,14.4,51.8,84
21,1.9,7.5,10.9,76.4,146
22,1.2,5.9,16.4,47.7,65
23,2.3,12.7,18,37.1,120
0,3.3,13.5,14.7,48.7,185
1,3.1,14.5,11.3,71.3,157
2,3.3,11,10,74,174
3,1.2,3.2,9.8,71.8,62
4,1.3,4.3,9.3,75.2,81
5,1.9,7.1,9.6,76,118
6,1.4,4.8,9.3,75,95
7,1.5,5.7,9,76.7,84
8,1.1,4.1,8.2,79.6,56
9,0.8,3.3,7.6,80.6,-200
10,-200,1.8,8.3,75.6,43
11,0.8,2.8,8.1,72.1,69
12,1.1,4.8,8.1,70.4,74
13,2.6,13.8,8.1,70.5,161
14,5.1,27.1,9.9,64.3,308
15,4.2,19.1,13,54.2,300
16,2.6,11.7,16.5,42.6,189
17,2.4,12.7,19.3,34.2,164
18,2.1,11.3,21.5,27.4,122
19,2.6,14.2,20.4,26.7,166
20,2.8,13.9,20.6,22.6,181
21,2.5,13.2,20.6,24.8,127
22,1.9,10.7,21,25.4,106
23,3.6,19.7,21.5,24.5,192
0,4.6,24,19.3,28.6,241
1,6.3,29.1,18,32.9,326
2,4.3,15.8,15.8,39.8,232
3,1.6,7,15.3,41.5,92
4,1.4,6.3,14.1,46,95
5,2,-200,-200,-200,129
6,2.4,-200,-200,-200,154
7,1.8,-200,-200,-200,118
8,1,-200,-200,-200,69
9,1,-200,-200,-200,-200
10,1,-200,-200,-200,97
11,0.9,-200,-200,-200,145
12,1.5,-200,-200,-200,169
13,2.6,-200,-200,-200,250
14,2.9,-200,-200,-200,215
15,2.7,-200,-200,-200,237
16,2.4,-200,-200,-200,190
17,2.6,-200,-200,-200,219
18,4.1,-200,-200,-200,294
19,4.3,-200,-200,-200,253
20,2.2,-200,-200,-200,176
21,3.4,-200,-200,-200,243
22,3.6,-200,-200,-200,214
23,2.5,-200,-200,-200,141
0,2.8,-200,-200,-200,166
1,3.4,-200,-200,-200,197
2,3,-200,-200,-200,191
3,2.1,-200,-200,-200,159
4,2.4,-200,-200,-200,175
5,2.3,8.4,12,67.9,157
6,1.3,5.4,12,66.9,83
